grup;situacio;actes autor;actes perjudicat;actes resta;extra
Patrimoni;Robatori amb força;N01,A108;N02,A56,A18;A31,A33,A17;Es considera també robatori amb força si la força s'exerceix per abandonar el lloc
Patrimoni;Usurpació (okupes);N09;N02,A18;G133,A31,A17;"Si es tracta d'un edifici públic: GUB - UI
Si es tracta d'un edifici privat: CME"
Patrimoni;Furt;N09,N10,A108;A18,N02,A56,A57,N10;N10,D24,A17;Si es a establiment: adjuntar el tiquet de caixa (A57PL)
Patrimoni;Furt +400€;N01,A108;N02,A56,A57,A18;A17;"Si es a establiment: adjuntar el tiquet de caixa (A57PL)

Agreujants:

- Furtar cables amb greu perjudici
- Productes agraris amb greu perjudici
- Valor artístic/històric
- Objectes de 1ª necesitat (desabastiment)
- Desamparament de la víctima
- Aprofitant-se d'un accident
- Fer servir menors"
Patrimoni;Apropiació indeguda;N09,A108;N02,A56;;"Si l'autor s'ha trobat l'objecte sempre serà un delicte lleu independentment del valor de l'objecte.

L'apropiació indeguda d'un vehicle la comet el que signa el contracte, no el conductor."
Patrimoni;Apropiació indeguda +400€;N01,A108;N02,A56;;"Si l'autor s'ha trobat l'objecte sempre serà un delicte lleu independentment del valor de l'objecte.

L'apropiació indeguda d'un vehicle la comet el que signa el contracte, no el conductor."
Patrimoni;Robatori/furt ús de vehícle;N08,A108;N02,A18;A33;Ingresar el vehícle a disposició judicial.
Patrimoni;Danys +400€;N01,A108;N02,A18;A17,A33,A31;S'ha de fer reportatge fotogràfic, és un requisit dir el valor dels danys, fer totes les gestions possibles per trobar a la víctima.
Patrimoni;Danys;N09,A108;N02,A18;A17,A33,A31;S'ha de fer reportatge fotogràfic, és un requisit dir el valor dels danys, fer totes les gestions possibles per trobar a la víctima.
Patrimoni;Ús de moneda falsa +400€;N09,A108;;A17,I55;"Si el bitllet porta inscripció: ""Specimen"",""facsímil"" o similar valorar tipificar delicte d'estafa."
Patrimoni;Ús de moneda falsa;N01,A108;;A17,I55;"Si el bitllet porta inscripció: ""Specimen"",""facsímil"" o similar valorar tipificar delicte d'estafa."
